ip,username,risk_score,classification,date_added,reason,status
194.165.16.11,koyyada_rohith,58,Suspicious,2026-06-05T11:20:23.252679,Threat Search Panel Investigation,Active
193.32.162.157,koyyada_rohith,30,Suspicious,2026-06-05T11:21:10.283635,Threat Search Panel Investigation,Active
71.6.146.185,koyyada_rohith,64,Malicious,2026-06-05T11:21:51.747837,Threat Search Panel Investigation,Active
185.220.101.45,koyyada_rohith,63,Malicious,2026-06-05T11:22:06.779631,Threat Search Panel Investigation,Active
45.142.212.100,koyyada_rohith,13,Safe,2026-06-05T21:30:54.389880,Threat Search Panel Investigation,Active200.105.172.184
200.105.172.184,koyyada_rohith,66,Malicious,2026-06-05T22:03:40.775257,Threat Search Panel Investigation,Active
213.209.159.56,koyyada_rohith,65,Malicious,2026-06-05T22:05:43.531383,Threat Search Panel Investigation,Active
216.218.206.104,koyyada_rohith,59,Suspicious,2026-06-05T22:06:24.337807,Threat Search Panel Investigation,Active
