ip,username,risk_score,classification,date_added,reason,status
194.165.16.11,koyyada_rohith,58,Suspicious,2026-06-05T11:20:23.252679,Threat Search Panel Investigation,Active
193.32.162.157,koyyada_rohith,30,Suspicious,2026-06-05T11:21:10.283635,Threat Search Panel Investigation,Active
71.6.146.185,koyyada_rohith,64,Malicious,2026-06-05T11:21:51.747837,Threat Search Panel Investigation,Active
185.220.101.45,koyyada_rohith,63,Malicious,2026-06-05T11:22:06.779631,Threat Search Panel Investigation,Active
